	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.3125	0.7143	0.4348	0.2778	18.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	3.0
AMBIENCE:POSITIVE	0.5862	0.85	0.6939	0.5312	32.0
FOOD:NEGATIVE	0.7111	0.9697	0.8205	0.6957	46.0
FOOD:NEUTRAL	0.4211	0.8889	0.5714	0.4	20.0
FOOD:POSITIVE	0.8393	0.9592	0.8952	0.8103	58.0
PRICE:NEGATIVE	0.7	0.7	0.7	0.5385	13.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
PRICE:POSITIVE	0.6667	1.0	0.8	0.6667	3.0
GENERAL-IMPRESSION:NEGATIVE	0.5161	0.8889	0.6531	0.4848	33.0
GENERAL-IMPRESSION:NEUTRAL	0.1667	1.0	0.2857	0.1667	6.0
GENERAL-IMPRESSION:POSITIVE	0.5833	0.9545	0.7241	0.5676	37.0
SERVICE:NEGATIVE	0.6897	0.7692	0.7273	0.5714	35.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.8611	0.9394	0.8986	0.8158	38.0
Micro-AVG	0.6469	0.8961	0.7514	0.6017	344.0
Macro-AVG	0.4703	0.7089	0.547		344
