sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
20	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	Kellner	service	positive	service positive	no	0	0
20	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	Kellner	service	negative	service negative	yes	2	3
20	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	Kellner	service	neutral	service neutral	no	0	0
25	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	Preise	price	positive	price positive	no	0	0
25	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	Preise	price	negative	price negative	yes	17	18
25	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	Preise	price	neutral	price neutral	no	0	0
25	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	Tee	price	positive	price positive	no	0	0
25	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	Tee	price	negative	price negative	yes	28	29
25	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	Tee	price	neutral	price neutral	no	0	0
83	Das Restaurant ist für Pastaliebhaber sehr zu empfehlen .	NULL	food	positive	food positive	yes	0	0
83	Das Restaurant ist für Pastaliebhaber sehr zu empfehlen .	NULL	food	negative	food negative	no	0	0
83	Das Restaurant ist für Pastaliebhaber sehr zu empfehlen .	NULL	food	neutral	food neutral	no	0	0
109	Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten .	Käsespätzle	food	positive	food positive	no	0	0
109	Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten .	Käsespätzle	food	negative	food negative	yes	13	14
109	Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten .	Käsespätzle	food	neutral	food neutral	no	0	0
109	Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten .	Bagel	food	positive	food positive	yes	4	5
109	Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten .	Bagel	food	negative	food negative	no	0	0
109	Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten .	Bagel	food	neutral	food neutral	no	0	0
153	Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .	Speisen	food	positive	food positive	yes	2	3
153	Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .	Speisen	food	negative	food negative	no	0	0
153	Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .	Speisen	food	neutral	food neutral	no	0	0
153	Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .	NULL	service	positive	service positive	yes	0	0
153	Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .	NULL	service	negative	service negative	no	0	0
153	Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .	NULL	service	neutral	service neutral	no	0	0
161	Regelrecht zerkocht .	NULL	food	positive	food positive	no	0	0
161	Regelrecht zerkocht .	NULL	food	negative	food negative	yes	0	0
161	Regelrecht zerkocht .	NULL	food	neutral	food neutral	no	0	0
165	Bedienung war nett und schnell .	Bedienung	service	positive	service positive	yes	1	2
165	Bedienung war nett und schnell .	Bedienung	service	negative	service negative	no	0	0
165	Bedienung war nett und schnell .	Bedienung	service	neutral	service neutral	no	0	0
168	Vor allem in der jetzigen Jahreszeit , den zahlenden Kunden bei Regen , Wind und Kälte wie letztes selbst erlebt 20 min , ungeschützt vor der Tür warten zu lassen grenzt schon an Unverschämtheit .	NULL	service	positive	service positive	no	0	0
168	Vor allem in der jetzigen Jahreszeit , den zahlenden Kunden bei Regen , Wind und Kälte wie letztes selbst erlebt 20 min , ungeschützt vor der Tür warten zu lassen grenzt schon an Unverschämtheit .	NULL	service	negative	service negative	yes	0	0
168	Vor allem in der jetzigen Jahreszeit , den zahlenden Kunden bei Regen , Wind und Kälte wie letztes selbst erlebt 20 min , ungeschützt vor der Tür warten zu lassen grenzt schon an Unverschämtheit .	NULL	service	neutral	service neutral	no	0	0
179	Nichts konnte überzeugen .	NULL	general-impression	positive	general-impression positive	no	0	0
179	Nichts konnte überzeugen .	NULL	general-impression	negative	general-impression negative	yes	0	0
179	Nichts konnte überzeugen .	NULL	general-impression	neutral	general-impression neutral	no	0	0
199	Wäre in LOC Mittelklasse .	NULL	general-impression	positive	general-impression positive	no	0	0
199	Wäre in LOC Mittelklasse .	NULL	general-impression	negative	general-impression negative	no	0	0
199	Wäre in LOC Mittelklasse .	NULL	general-impression	neutral	general-impression neutral	yes	0	0
219	Da es vermutlich wegen der Buchmesse viel zu laut war , konnte keine vernünftige Unterhaltung stattfinden .	NULL	ambience	positive	ambience positive	no	0	0
219	Da es vermutlich wegen der Buchmesse viel zu laut war , konnte keine vernünftige Unterhaltung stattfinden .	NULL	ambience	negative	ambience negative	yes	0	0
219	Da es vermutlich wegen der Buchmesse viel zu laut war , konnte keine vernünftige Unterhaltung stattfinden .	NULL	ambience	neutral	ambience neutral	no	0	0
231	Ein Schnitzel glich dem anderen - leider nur TK - Ware ohne Liebe frittiert .	Schnitzel	food	positive	food positive	no	0	0
231	Ein Schnitzel glich dem anderen - leider nur TK - Ware ohne Liebe frittiert .	Schnitzel	food	negative	food negative	yes	2	3
231	Ein Schnitzel glich dem anderen - leider nur TK - Ware ohne Liebe frittiert .	Schnitzel	food	neutral	food neutral	no	0	0
243	Preis Leistung top !	Preis Leistung	price	positive	price positive	yes	1	3
243	Preis Leistung top !	Preis Leistung	price	negative	price negative	no	0	0
243	Preis Leistung top !	Preis Leistung	price	neutral	price neutral	no	0	0
252	Sehr nettes Personal und Verständnis , wenn man länger sitzen bleibt .	Personal	service	positive	service positive	yes	3	4
252	Sehr nettes Personal und Verständnis , wenn man länger sitzen bleibt .	Personal	service	negative	service negative	no	0	0
252	Sehr nettes Personal und Verständnis , wenn man länger sitzen bleibt .	Personal	service	neutral	service neutral	no	0	0
262	Ich würde das Lokal wieder empfehlen .	Lokal	general-impression	positive	general-impression positive	yes	4	5
262	Ich würde das Lokal wieder empfehlen .	Lokal	general-impression	negative	general-impression negative	no	0	0
262	Ich würde das Lokal wieder empfehlen .	Lokal	general-impression	neutral	general-impression neutral	no	0	0
276	Die Beilagen hingegen waren super .	Beilagen	food	positive	food positive	yes	2	3
276	Die Beilagen hingegen waren super .	Beilagen	food	negative	food negative	no	0	0
276	Die Beilagen hingegen waren super .	Beilagen	food	neutral	food neutral	no	0	0
283	Gern wieder :	NULL	general-impression	positive	general-impression positive	yes	0	0
283	Gern wieder :	NULL	general-impression	negative	general-impression negative	no	0	0
283	Gern wieder :	NULL	general-impression	neutral	general-impression neutral	no	0	0
286	Gerne wieder !	NULL	general-impression	positive	general-impression positive	yes	0	0
286	Gerne wieder !	NULL	general-impression	negative	general-impression negative	no	0	0
286	Gerne wieder !	NULL	general-impression	neutral	general-impression neutral	no	0	0
311	Der Leberkäse hingegen sehr gut .	Leberkäse	food	positive	food positive	yes	2	3
311	Der Leberkäse hingegen sehr gut .	Leberkäse	food	negative	food negative	no	0	0
311	Der Leberkäse hingegen sehr gut .	Leberkäse	food	neutral	food neutral	no	0	0
315	Auch wenn mich ein Restaurant schonmal enttäuscht hat , gebe ich gerne eine zweite Chance .	Restaurant	general-impression	positive	general-impression positive	no	0	0
315	Auch wenn mich ein Restaurant schonmal enttäuscht hat , gebe ich gerne eine zweite Chance .	Restaurant	general-impression	negative	general-impression negative	yes	5	6
315	Auch wenn mich ein Restaurant schonmal enttäuscht hat , gebe ich gerne eine zweite Chance .	Restaurant	general-impression	neutral	general-impression neutral	no	0	0
346	Aber als Vegetarierer gab es keinerlei Auswahl , wir mussten von der LOC zwei Gänge bestellen , wobei es bei jedem Gang nur eine Möglichkeit gab , beim Hauptgericht bestand diese aus einer Selleriescheibe , was auch nicht jedermanns Sache ist .	Auswahl	food	positive	food positive	no	0	0
346	Aber als Vegetarierer gab es keinerlei Auswahl , wir mussten von der LOC zwei Gänge bestellen , wobei es bei jedem Gang nur eine Möglichkeit gab , beim Hauptgericht bestand diese aus einer Selleriescheibe , was auch nicht jedermanns Sache ist .	Auswahl	food	negative	food negative	yes	7	8
346	Aber als Vegetarierer gab es keinerlei Auswahl , wir mussten von der LOC zwei Gänge bestellen , wobei es bei jedem Gang nur eine Möglichkeit gab , beim Hauptgericht bestand diese aus einer Selleriescheibe , was auch nicht jedermanns Sache ist .	Auswahl	food	neutral	food neutral	no	0	0
346	Aber als Vegetarierer gab es keinerlei Auswahl , wir mussten von der LOC zwei Gänge bestellen , wobei es bei jedem Gang nur eine Möglichkeit gab , beim Hauptgericht bestand diese aus einer Selleriescheibe , was auch nicht jedermanns Sache ist .	Selleriescheibe	food	positive	food positive	no	0	0
346	Aber als Vegetarierer gab es keinerlei Auswahl , wir mussten von der LOC zwei Gänge bestellen , wobei es bei jedem Gang nur eine Möglichkeit gab , beim Hauptgericht bestand diese aus einer Selleriescheibe , was auch nicht jedermanns Sache ist .	Selleriescheibe	food	negative	food negative	yes	34	35
346	Aber als Vegetarierer gab es keinerlei Auswahl , wir mussten von der LOC zwei Gänge bestellen , wobei es bei jedem Gang nur eine Möglichkeit gab , beim Hauptgericht bestand diese aus einer Selleriescheibe , was auch nicht jedermanns Sache ist .	Selleriescheibe	food	neutral	food neutral	no	0	0
376	Der Keller hat uns durch seine Art den Abend versaut und unsere Tradition endet somit und wir suchen ein neues Lokal .	Keller	service	positive	service positive	no	0	0
376	Der Keller hat uns durch seine Art den Abend versaut und unsere Tradition endet somit und wir suchen ein neues Lokal .	Keller	service	negative	service negative	yes	2	3
376	Der Keller hat uns durch seine Art den Abend versaut und unsere Tradition endet somit und wir suchen ein neues Lokal .	Keller	service	neutral	service neutral	no	0	0
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Restaurant	general-impression	positive	general-impression positive	yes	3	4
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Restaurant	general-impression	negative	general-impression negative	no	0	0
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Restaurant	general-impression	neutral	general-impression neutral	no	0	0
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Rosewein	food	positive	food positive	yes	15	16
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Rosewein	food	negative	food negative	no	0	0
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Rosewein	food	neutral	food neutral	no	0	0
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Fischgerichte	food	positive	food positive	yes	23	24
387	Ein gemütliches Restaurant , die Aussenbestuhlung befindet sich vor dem Lokal , der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker !	Fischgerichte	food	negative	food negative	no	0	0
