	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.2632	0.7143	0.3846	0.2381	21.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	4.0
AMBIENCE:POSITIVE	0.8095	0.85	0.8293	0.7083	24.0
FOOD:NEGATIVE	0.4627	0.9394	0.62	0.4493	69.0
FOOD:NEUTRAL	0.6	1.0	0.75	0.6	15.0
FOOD:POSITIVE	0.6667	0.9796	0.7934	0.6575	73.0
PRICE:NEGATIVE	0.5	0.8	0.6154	0.4444	18.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	4.0
PRICE:POSITIVE	0.6667	1.0	0.8	0.6667	3.0
GENERAL-IMPRESSION:NEGATIVE	0.2698	0.9444	0.4198	0.2656	64.0
GENERAL-IMPRESSION:NEUTRAL	0.1667	1.0	0.2857	0.1667	6.0
GENERAL-IMPRESSION:POSITIVE	0.3958	0.8636	0.5429	0.3725	51.0
SERVICE:NEGATIVE	0.5116	0.8462	0.6377	0.4681	47.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	4.0
SERVICE:POSITIVE	0.8824	0.9091	0.8955	0.8108	37.0
Micro-AVG	0.5	0.9048	0.6441	0.475	440.0
Macro-AVG	0.413	0.7231	0.505		440
