sentence_id	yes_no	aspect_sentiment	sentence	ner_tags
54	1	price positive	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O T O O O O O O O O O O
54	0	price negative	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	price neutral	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	general-impression positive	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	general-impression negative	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	general-impression neutral	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	food positive	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	food negative	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	food neutral	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	service positive	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	service negative	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	service neutral	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	ambience positive	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	ambience negative	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
54	0	ambience neutral	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	O O O O O O O O O O O O O O O O O O O
80	0	price positive	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	price negative	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	price neutral	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	1	general-impression positive	Der LOC bekommt von uns eine sehr gute Bewertung .	O T O O O O O O O O
80	0	general-impression negative	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	general-impression neutral	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	food positive	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	food negative	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	food neutral	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	service positive	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	service negative	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	service neutral	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	ambience positive	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	ambience negative	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
80	0	ambience neutral	Der LOC bekommt von uns eine sehr gute Bewertung .	O O O O O O O O O O
135	0	price positive	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	price negative	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	price neutral	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	general-impression positive	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	general-impression negative	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	general-impression neutral	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	food positive	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	1	food negative	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O T O
135	0	food neutral	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	service positive	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	1	service negative	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O T O O O O O
135	0	service neutral	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	ambience positive	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	ambience negative	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
135	0	ambience neutral	Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen .	O O O O O O O O O O
145	0	price positive	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	price negative	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	price neutral	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	general-impression positive	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	general-impression negative	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	general-impression neutral	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	food positive	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	food negative	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	food neutral	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	service positive	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	service negative	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	service neutral	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	1	ambience positive	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O T O
145	0	ambience negative	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
145	0	ambience neutral	Wir saßen in der ersten Etage - ein wunderbarer Raum .	O O O O O O O O O O O
178	0	price positive	Und unschön , dass das den Ober überhaupt nicht interessiert hat	O O O O O O O O O O O
178	0	price negative	Und unschön , dass das den Ober überhaupt nicht interessiert hat	O O O O O O O O O O O
178	0	price neutral	Und unschön , dass das den Ober überhaupt nicht interessiert hat	O O O O O O O O O O O
178	0	general-impression positive	Und unschön , dass das den Ober überhaupt nicht interessiert hat	O O O O O O O O O O O
178	0	general-impression negative	Und unschön , dass das den Ober überhaupt nicht interessiert hat	O O O O O O O O O O O
